coffee,word,food_drink,0.04,0.04,0.15,0.2,0.24,0.28,0.4,0.43,0.5,0.58,0.61,0.63,0.79,0.67,0.78
coke,word,food_drink,0.04,0.04,0.09,0.13,0.15,0.18,0.25,0.2,0.34,0.4,0.41,0.37,0.54,0.44,0.56
cookie,word,food_drink,0.38,0.36,0.57,0.69,0.66,0.7,0.78,0.84,0.88,0.91,0.94,0.91,0.98,0.94,0.98
corn,word,food_drink,0.05,0.08,0.17,0.24,0.27,0.3,0.44,0.48,0.55,0.6,0.72,0.73,0.84,0.75,0.88
cracker,word,food_drink,0.34,0.32,0.5,0.58,0.59,0.59,0.71,0.78,0.77,0.81,0.84,0.84,0.95,0.86,0.96
donut,word,food_drink,0.03,0.05,0.1,0.12,0.15,0.18,0.26,0.36,0.37,0.46,0.53,0.54,0.68,0.62,0.72
drink (beverage),word,food_drink,0.18,0.21,0.33,0.41,0.46,0.56,0.65,0.71,0.72,0.74,0.82,0.81,0.92,0.86,0.94
egg,word,food_drink,0.12,0.16,0.26,0.35,0.41,0.49,0.57,0.64,0.68,0.74,0.79,0.79,0.91,0.83,0.92
fish (food),word,food_drink,0.15,0.19,0.31,0.39,0.42,0.46,0.56,0.6,0.65,0.68,0.76,0.74,0.87,0.81,0.89
food,word,food_drink,0.07,0.14,0.21,0.29,0.31,0.37,0.48,0.55,0.58,0.61,0.69,0.7,0.83,0.83,0.88
french fries,word,food_drink,0.07,0.11,0.22,0.33,0.33,0.39,0.49,0.56,0.62,0.7,0.8,0.78,0.9,0.81,0.91
grapes,word,food_drink,0.09,0.15,0.29,0.37,0.41,0.45,0.59,0.63,0.69,0.73,0.79,0.83,0.9,0.86,0.95
green beans,word,food_drink,0.03,0.04,0.11,0.11,0.15,0.18,0.23,0.3,0.36,0.41,0.43,0.42,0.59,0.49,0.68
gum,word,food_drink,0.01,0.04,0.08,0.15,0.13,0.16,0.31,0.3,0.34,0.44,0.56,0.54,0.61,0.63,0.69
hamburger,word,food_drink,0.02,0.05,0.11,0.17,0.2,0.28,0.36,0.44,0.47,0.6,0.7,0.72,0.78,0.77,0.83
ice,word,food_drink,0.11,0.12,0.25,0.34,0.36,0.41,0.51,0.59,0.64,0.72,0.71,0.75,0.86,0.81,0.88
ice cream,word,food_drink,0.1,0.14,0.26,0.36,0.39,0.37,0.6,0.65,0.71,0.78,0.87,0.85,0.93,0.9,0.95
jello,word,food_drink,0.02,0.04,0.08,0.1,0.12,0.14,0.18,0.19,0.3,0.36,0.43,0.45,0.6,0.47,0.62
jelly,word,food_drink,0.02,0.02,0.08,0.11,0.14,0.15,0.26,0.3,0.35,0.44,0.46,0.58,0.72,0.59,0.79
juice,word,food_drink,0.44,0.31,0.58,0.67,0.69,0.76,0.82,0.85,0.86,0.86,0.95,0.9,0.97,0.91,0.98
lollipop,word,food_drink,0.01,0.03,0.08,0.12,0.13,0.16,0.24,0.24,0.32,0.44,0.39,0.49,0.62,0.6,0.65
meat,word,food_drink,0.04,0.06,0.11,0.17,0.23,0.24,0.29,0.36,0.45,0.48,0.61,0.55,0.7,0.6,0.74
melon,word,food_drink,0.03,0.02,0.08,0.11,0.16,0.21,0.22,0.3,0.31,0.35,0.46,0.46,0.56,0.46,0.62
milk,word,food_drink,0.34,0.43,0.57,0.72,0.67,0.72,0.79,0.88,0.86,0.87,0.93,0.93,0.97,0.96,0.97
