"data_id","language","form","age","gender","mom_ed","comprehension","production"
49442,"English","WG",10,"Female","Some College",68,4
49443,"English","WG",10,"Male","College",90,0
49444,"English","WG",10,"Female","Some Secondary",109,7
49445,"English","WG",10,"Female","Graduate",54,5
49446,"English","WG",10,"Male","Some College",40,4
49447,"English","WG",10,"Male","College",14,0
49448,"English","WG",10,"Female","Some Secondary",48,2
49449,"English","WG",10,"Male","Some College",18,7
49450,"English","WG",10,"Male","Some Secondary",39,2
49451,"English","WG",10,"Male","Secondary",26,0
49452,"English","WG",10,"Female","Secondary",25,5
49453,"English","WG",10,"Female","Some Secondary",142,3
49454,"English","WG",10,"Female","College",80,8
49455,"English","WG",10,"Male","Graduate",22,3
49456,"English","WG",10,"Female","Some Secondary",74,3
49457,"English","WG",10,"Female","Some Secondary",74,3
49458,"English","WG",9,"Male","College",15,1
49459,"English","WG",10,"Male","College",34,2
49460,"English","WG",10,"Male","Some College",84,16
49461,"English","WG",10,"Male","Some Secondary",3,3
49462,"English","WG",10,"Female","Some College",1,0
49463,"English","WG",10,"Male","Some College",18,1
49464,"English","WG",10,"Male","Graduate",11,4
49465,"English","WG",10,"Male","Some Secondary",93,15
49466,"English","WG",10,"Male","College",19,2
49467,"English","WG",10,"Female","Some College",16,2
49468,"English","WG",10,"Male","College",8,0
49469,"English","WG",10,"Female","Graduate",12,5
49470,"English","WG",10,"Female","Some Secondary",8,6
49471,"English","WG",10,"Male","Secondary",119,5
49472,"English","WG",10,"Male","Secondary",65,1
49473,"English","WG",10,"Male","Some Secondary",28,0
49474,"English","WG",10,"Male","Graduate",45,3
49475,"English","WG",10,"Female","Some Secondary",91,10
49476,"English","WG",10,"Male","College",27,1
49477,"English","WG",10,"Male","Secondary",15,1
49478,"English","WG",10,"Female","Some Secondary",0,0
49479,"English","WG",10,"Female","Some Secondary",124,3
49480,"English","WG",10,"Male","Some College",52,2
49481,"English","WG",10,"Male","Graduate",61,11
49482,"English","WG",10,"Female","Secondary",20,0
49483,"English","WG",10,"Female","College",65,3
49484,"English","WG",10,"Male","College",68,2
49485,"English","WG",10,"Male","Some College",3,0
